age_range,female,all_cause,disease_of_heart,diabetes,cerebrovascular_disease,nephritis_nephrosis
"[15,20)",m,9270,167,42,35,0
"[20,25)",m,15398,379,115,54,0
"[25,35)",m,47833,2345,699,316,0
"[35,45)",m,69814,7896,1656,1158,560
"[45,55)",m,104880,21499,4322,3143,1468
"[55,65)",m,254278,55126,10240,7930,3671
"[65,75)",m,361317,87194,15303,14928,6708
"[75,85)",m,411716,99046,14287,21338,8470
"[85,Inf)",m,350204,102037,7974,21898,7563
"[15,20)",f,3507,118,31,35,0
"[20,25)",f,5536,171,71,38,0
"[25,35)",f,19616,1129,411,263,0
"[35,45)",f,35522,3632,948,899,0
"[45,55)",f,61893,8931,2331,2221,974
"[55,65)",f,146890,24600,5718,5495,2525
"[65,75)",f,266363,47822,10186,12740,5557
"[75,85)",f,386472,77080,11319,25487,8035
"[85,Inf)",f,534800,141234,9481,44422,8867
