"","intrcpt","inveGFR","Age_LT65Yes","Baseline_T2DYes","Year1Yes","inveGFR:Age_LT65Yes","inveGFR:Year1Yes","Age_LT65Yes:Baseline_T2DYes","Age_LT65Yes:Year1Yes","inveGFR:Age_LT65Yes:Year1Yes"
"intrcpt",0.00340052032585971,-0.14505370419892,-0.0034005203258597,-8.73046410094424e-05,-0.00336828432089185,0.14505370419892,0.145186580867698,8.73046410094414e-05,0.00336828432089185,-0.145186580867698
"inveGFR",-0.14505370419892,6.52542891576192,0.14505370419892,-1.17412486067498e-05,0.14505803948905,-6.52542891576192,-6.52541104571534,1.17412486068001e-05,-0.14505803948905,6.52541104571534
"Age_LT65Yes",-0.0034005203258597,0.14505370419892,0.0134319623205231,8.73046410094423e-05,0.00336828432089185,-0.576717738530381,-0.145186580867698,-0.000490702800853282,-0.0133068466291657,0.57967162951503
"Baseline_T2DYes",-8.73046410094424e-05,-1.17412486067498e-05,8.73046410094423e-05,0.000243660434415131,-2.66353116856133e-06,1.17412486067598e-05,-0.000359107156055279,-0.000243660434415131,2.663531168562e-06,0.000359107156055253
"Year1Yes",-0.00336828432089185,0.14505803948905,0.00336828432089185,-2.66353116856133e-06,0.00537255200236661,-0.14505803948905,-0.229510470174745,2.66353116856273e-06,-0.00537255200236661,0.229510470174746
"inveGFR:Age_LT65Yes",0.14505370419892,-6.52542891576192,-0.576717738530381,1.17412486067598e-05,-0.14505803948905,26.472262965458,6.52541104571534,0.000210749948001777,0.57667084673367,-26.4738010044692
"inveGFR:Year1Yes",0.145186580867698,-6.52541104571534,-0.145186580867698,-0.000359107156055279,-0.229510470174745,6.52541104571534,10.2653461748168,0.000359107156055214,0.229510470174746,-10.2653461748169
"Age_LT65Yes:Baseline_T2DYes",8.73046410094414e-05,1.17412486068001e-05,-0.000490702800853282,-0.000243660434415131,2.66353116856273e-06,0.000210749948001777,0.000359107156055214,0.00106846236475022,0.000210829586340153,-0.00634954249533045
"Age_LT65Yes:Year1Yes",0.00336828432089185,-0.14505803948905,-0.0133068466291657,2.663531168562e-06,-0.00537255200236661,0.57667084673367,0.229510470174746,0.000210829586340153,0.0221250383175949,-0.963950331350543
"inveGFR:Age_LT65Yes:Year1Yes",-0.145186580867698,6.52541104571534,0.57967162951503,0.000359107156055253,0.229510470174746,-26.4738010044692,-10.2653461748169,-0.00634954249533045,-0.963950331350543,44.1559256323859
