"","intrcpt","inveGFR","Age_LT65Yes","Baseline_T2DYes","Year1Yes","inveGFR:Age_LT65Yes","inveGFR:Year1Yes","Age_LT65Yes:Baseline_T2DYes","Age_LT65Yes:Year1Yes","Baseline_T2DYes:Year1Yes","Age_LT65Yes:Baseline_T2DYes:Year1Yes"
"intrcpt",0.0179207362946828,-0.628474416579161,-0.00669579142714845,-0.00124774435043182,-0.0171193034783477,0.184767793669849,0.595390359400461,0.00249525252397246,0.00220034641001435,0.0012379882533923,-0.00274248026561249
"inveGFR",-0.628474416579161,26.1835495985807,0.160819898070374,-0.0661570592814686,0.595085060794944,-7.69781006537671,-24.8051990576377,0.0141832775731694,0.0264696788300043,0.0665635185485193,-0.00388325633982849
"Age_LT65Yes",-0.00669579142714845,0.160819898070374,0.0518030889956624,0.002429350671139,0.00222200487367584,-1.03141729910065,0.023863093596016,-0.023064430243819,-0.0267084571567777,-0.00237488984190894,0.0244445136689682
"Baseline_T2DYes",-0.00124774435043182,-0.0661570592814686,0.002429350671139,0.00594175301450251,0.00133210806825663,0.0194497875437106,0.0626744291627181,-0.00581043267748661,-0.00290256869664578,-0.005942780000921,0.00578440797396927
"Year1Yes",-0.0171193034783477,0.595085060794944,0.00222200487367584,0.00133210806825663,0.0227388378024493,-0.00621534852859718,-0.790178310450792,-0.00298775110190352,-0.0029389937105593,-0.00228320698826002,0.0042799087109751
"inveGFR:Age_LT65Yes",0.184767793669849,-7.69781006537671,-1.03141729910065,0.0194497875437106,-0.00621534852859718,41.1646998608948,0.326962273713661,-0.113543984941852,0.0298702156184425,-0.0216233633518587,0.0584637375688472
"inveGFR:Year1Yes",0.595390359400461,-24.8051990576377,0.023863093596016,0.0626744291627181,-0.790178310450792,0.326962273713661,32.8462669786402,0.00614762325918013,-0.032864990758845,-0.0603032133679034,-0.0226960248971854
"Age_LT65Yes:Baseline_T2DYes",0.00249525252397246,0.0141832775731694,-0.023064430243819,-0.00581043267748661,-0.00298775110190352,-0.113543984941852,0.00614762325918013,0.0440382808343173,0.0258269828034088,0.00581642801960411,-0.0438863537997598
"Age_LT65Yes:Year1Yes",0.00220034641001435,0.0264696788300043,-0.0267084571567777,-0.00290256869664578,-0.0029389937105593,0.0298702156184425,-0.032864990758845,0.0258269828034088,0.0336572705995916,0.00379425102367944,-0.0335402959798072
"Baseline_T2DYes:Year1Yes",0.0012379882533923,0.0665635185485193,-0.00237488984190894,-0.005942780000921,-0.00228320698826002,-0.0216233633518587,-0.0603032133679034,0.00581642801960411,0.00379425102367944,0.00766770362183112,-0.00751532342052155
"Age_LT65Yes:Baseline_T2DYes:Year1Yes",-0.00274248026561249,-0.00388325633982849,0.0244445136689682,0.00578440797396927,0.0042799087109751,0.0584637375688472,-0.0226960248971854,-0.0438863537997598,-0.0335402959798072,-0.00751532342052155,0.0572753944214129
