Age,Males,Females,Both
18,0.0009525,0.000366399,0.000666276
19,0.00106079,0.000402463,0.000739115
20,0.001175321,0.000442583,0.000817056
21,0.001294806,0.00048554,0.000898837
22,0.00140078,0.000523972,0.000971405
23,0.00148725,0.000555444,0.00103051
24,0.001560043,0.000583176,0.00108072
25,0.001625176,0.000608617,0.001125863
26,0.001696517,0.000640076,0.001177071
27,0.001783201,0.000685438,0.001242824
28,0.001890054,0.000748093,0.00132724
29,0.002007863,0.000821307,0.001422371
30,0.002127008,0.000898406,0.001520019
31,0.002237058,0.000971142,0.001610953
32,0.002335903,0.001036842,0.001692976
33,0.002422822,0.001094492,0.001765312
34,0.002504678,0.001149391,0.00183396
35,0.002587907,0.00120567,0.001904094
36,0.002679938,0.001270257,0.001982688
37,0.002784318,0.001347975,0.002073784
38,0.002902958,0.001441048,0.00217931
39,0.003031751,0.001544485,0.002294792
40,0.003176219,0.001660401,0.002424307
41,0.003325585,0.001777927,0.002557096
42,0.003464033,0.001883331,0.00267819
43,0.003588365,0.001972506,0.002783878
44,0.003713788,0.002057202,0.002887663
45,0.003861806,0.002153363,0.003008128
46,0.004051621,0.002277385,0.003163318
47,0.00428428,0.0024329,0.003356118
48,0.004556792,0.002620802,0.003585901
49,0.00485904,0.002832122,0.003842926
50,0.005181824,0.003062302,0.004119882
51,0.005535192,0.003308659,0.004419843
52,0.005937969,0.0035717,0.004752146
53,0.006410854,0.003858434,0.00513015
54,0.006960071,0.004178945,0.005561913
55,0.007548563,0.004519321,0.006022338
56,0.008182826,0.004897281,0.006523822
57,0.008908965,0.0053476,0.007106422
58,0.009721284,0.005872769,0.007768662
59,0.01058132,0.006442996,0.00847649
60,0.01145679,0.007033697,0.009201595
61,0.012333114,0.00762483,0.009926307
62,0.013222532,0.008215991,0.010655888
63,0.014147206,0.008815999,0.011404996
64,0.015131809,0.009448322,0.012197369
65,0.016196458,0.010134932,0.013054383
66,0.01749392,0.01096076,0.014087634
67,0.018695196,0.011781945,0.015075052
68,0.019985316,0.012696273,0.016150029
69,0.021359947,0.013727799,0.01732431
70,0.022641877,0.014755056,0.018459626
71,0.024317315,0.016066298,0.019921385
72,0.026170062,0.017523903,0.021541107
73,0.028328206,0.019299001,0.023475666
74,0.030786594,0.021325799,0.025684701
75,0.033521805,0.023711676,0.028219391
76,0.03602767,0.025914438,0.030546436
77,0.040607277,0.029447025,0.034523327
78,0.0440198,0.032419637,0.03765526
79,0.049348112,0.036450438,0.042210791
80,0.05416397,0.040492758,0.046538081
81,0.061040405,0.045557391,0.052310873
82,0.068033725,0.051024709,0.058338135
83,0.075181551,0.056903586,0.064644828
84,0.082862034,0.064118326,0.071961395
85,0.09216027,0.070931301,0.079677299
86,0.103004001,0.080253318,0.089580074
87,0.115463793,0.090614125,0.100502886
88,0.12908563,0.10207969,0.112497926
89,0.14389497,0.114707127,0.125606969
90,0.159897953,0.128540963,0.139858052
91,0.17707783,0.143609107,0.155262038
92,0.195391849,0.159918681,0.171809316
93,0.21476911,0.177452117,0.189466774
94,0.235109344,0.196163759,0.20817554
95,0.256283462,0.215977415,0.227849603
96,0.278135508,0.236785188,0.248375773
97,0.300486505,0.258448064,0.269614965
98,0.323139787,0.280798227,0.291405052
99,0.345887721,0.303643554,0.313565433
100,1,1,1
