State,FirstYear,Age,Stage,Diabetes,N,Mean,SD
ckd only,first,lt 65,g3a,no baseline t2d,7360,12499.84,28416.28
ckd only,first,lt 65,g3b,no baseline t2d,2058,14942.44,34060.35
ckd only,first,lt 65,g4,no baseline t2d,271,18455.81,43359.2
ckd only,first,lt 65,g3a,baseline t2d,4388,14066.91,31796.97
ckd only,first,lt 65,g3b,baseline t2d,1711,16470.97,46069.15
ckd only,first,lt 65,g4,baseline t2d,291,20394.2,39598.43
ckd only,first,ge 65,g3a,no baseline t2d,19517,12967.31,28795.48
ckd only,first,ge 65,g3b,no baseline t2d,9505,12805.64,27836.4
ckd only,first,ge 65,g4,no baseline t2d,1338,14248.84,32499.63
ckd only,first,ge 65,g3a,baseline t2d,11047,12764.79,26201.64
ckd only,first,ge 65,g3b,baseline t2d,6132,13115,27464.59
ckd only,first,ge 65,g4,baseline t2d,926,15252.12,33343.63
ckd only,subsequent,lt 65,g3a,no baseline t2d,5300,9227.73,23949.18
ckd only,subsequent,lt 65,g3b,no baseline t2d,1499,9759.64,26082.84
ckd only,subsequent,lt 65,g4,no baseline t2d,198,10518.62,22731.11
ckd only,subsequent,lt 65,g3a,baseline t2d,3120,9950.97,20163.24
ckd only,subsequent,lt 65,g3b,baseline t2d,1180,10633.72,28703.67
ckd only,subsequent,lt 65,g4,baseline t2d,188,10374.49,20141.8
ckd only,subsequent,ge 65,g3a,no baseline t2d,14963,9033.82,20663.69
ckd only,subsequent,ge 65,g3b,no baseline t2d,7472,9237.97,20937.34
ckd only,subsequent,ge 65,g4,no baseline t2d,1026,10570.62,31684.85
ckd only,subsequent,ge 65,g3a,baseline t2d,8587,9604.81,21576.43
ckd only,subsequent,ge 65,g3b,baseline t2d,4804,9622.34,25782.11
ckd only,subsequent,ge 65,g4,baseline t2d,716,10028.51,25174.82
mi,first,lt 65,g3a,no baseline t2d,185,77254.09,82951.92
mi,first,lt 65,g3b,no baseline t2d,88,57019.42,57275.74
mi,first,lt 65,g4,no baseline t2d,49,88052.26,103016.15
mi,first,lt 65,g3a,baseline t2d,198,76787.76,88988.53
mi,first,lt 65,g3b,baseline t2d,182,89628.11,114162.67
mi,first,lt 65,g4,baseline t2d,108,103793.92,133980.76
mi,first,ge 65,g3a,no baseline t2d,1281,61433.43,81257.84
mi,first,ge 65,g3b,no baseline t2d,1004,64892.79,95223.43
mi,first,ge 65,g4,no baseline t2d,383,69932.13,87932.51
mi,first,ge 65,g3a,baseline t2d,1105,67654.27,84156.31
mi,first,ge 65,g3b,baseline t2d,916,68791.44,88921.6
mi,first,ge 65,g4,baseline t2d,464,80110.12,103498.75
