item,cost,year
c_g12_nodm,6194.1,2019
c_g3a_nodm,6612.1,2019
c_g12_dm,11861.3,2019
c_g12_nodm_cvd,15620,2019
c_g12_dm_cvd,18934.3,2019
c_g12_nodm_hf,21154.1,2019
c_g12_dm_hf,23753.4,2019
c_g3a_dm,11861.3,2019
c_g3a_nodm_cvd,15620,2019
c_g3a_dm_cvd,18934.3,2019
c_g3a_nodm_hf,21154.1,2019
c_g3a_dm_hf,23753.4,2019
c_g3b_nodm,8592.1,2019
c_g3b_dm,16582.5,2019
c_g3b_nodm_cvd,21326.8,2019
c_g3b_dm_cvd,24718.1,2019
c_g3b_nodm_hf,26725.6,2019
c_g3b_dm_hf,32157.4,2019
c_g4_nodm,12170.4,2019
c_g4_dm,29722,2019
c_g4_nodm_cvd,36517.8,2019
c_g4_dm_cvd,41693.3,2019
c_g4_nodm_hf,41721.9,2019
c_g4_dm_hf,48459.4,2019
c_g5_nodm,40394.2,2019
c_g5_dm,69138.3,2019
c_g5_nodm_cvd,74408.4,2019
c_g5_dm_cvd,79642.2,2019
c_g5_nodm_hf,80143.8,2019
c_g5_dm_hf,88528,2019
c_add_a3,5339.4,2006
c_mi_30d,34630.2,2012
c_str_30d,20718.5,2012
c_hf_30d,18645,2012
c_esrd_d_4m,96291.8,2020
c_esrd_t_4m,136698.1,2020
c_esrd_d_sub4m,54530.3,2020
c_esrd_t_sub4m,7786.9,2020
